Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
UTMD,"Utah Medical Products, Inc.",86.45,$321.65M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/utmd
UTSI,UTStarcom Holdings Corp,5.14,$182.21M,2000,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/utsi
VLRX,"Valeritas Holdings, Inc.",3.28,$23.4M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/vlrx
VALX,Validea Market Legends ETF,28.0148,$23.81M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/valx
VALU,"Value Line, Inc.",18.65,$180.91M,1983,Finance,Investment Managers,https://www.nasdaq.com/symbol/valu
VNDA,Vanda Pharmaceuticals Inc.,15.3,$687.39M,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/vnda
BBH,VanEck Vectors Biotech ETF,118.5,$538.76M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bbh
GNRX,VanEck Vectors Generic Drugs ETF,23.57,$3.54M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gnrx
PPH,VanEck Vectors Pharmaceutical ETF,57.09,$241.96M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pph
VWOB,Vanguard Emerging Markets Government Bond ETF,78.21,$986.54M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vwob
VNQI,Vanguard Global ex-U.S. Real Estate ETF,58.14,$5.71B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vnqi
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,85.2,$19.08B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vcit
VGIT,Vanguard Intermediate-Term Treasury ETF,62.79,$1.65B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vgit
VIGI,Vanguard International Dividend Appreciation ETF,63.06,$821.19M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vigi
VYMI,Vanguard International High Dividend Yield ETF,65.56,$793.56M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vymi
VCLT,Vanguard Long-Term Corporate Bond ETF,91.14,$2.26B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vclt
VGLT,Vanguard Long-Treasury ETF,73.02,$658.44M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vglt
VMBS,Vanguard Mortgage-Backed Securities ETF,51.46,$4.92B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vmbs
VONE,Vanguard Russell 1000 ETF,118.31,$763.1M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vone
VONG,Vanguard Russell 1000 Growth ETF,135,$1.52B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vong
VONV,Vanguard Russell 1000 Value ETF,103.32,$1.25B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vonv
VTWO,Vanguard Russell 2000 ETF,116.55,$1.24B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vtwo
VTWG,Vanguard Russell 2000 Growth ETF,130.7742,$225.59M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vtwg
VTWV,Vanguard Russell 2000 Value ETF,103.03,$180.3M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vtwv
VTHR,Vanguard Russell 3000 ETF,118.47,$343.56M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vthr
VCSH,Vanguard Short-Term Corporate Bond ETF,78.78,$21.69B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vcsh
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,48.57,$4.69B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vtip
VGSH,Vanguard Short-Term Treasury ETF,60.09,$1.94B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vgsh
VTC,Vanguard Total Corporate Bond ETF,82.77,$45.52M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vtc
